sequence_pattern,total_occurrences,most_likely_next_action,predictive_strength,unique_tickers,unique_managers,next_action_breakdown,pattern_score
Reduce → Reduce → Reduce,5755,Reduce,55.8992180712424,855,81,"{'Reduce': 3217, 'Add': 1637, 'Hold': 459, 'Buy': 442}",39201.21438981516
Add → Reduce → Reduce,3375,Reduce,52.56296296296297,947,81,"{'Add': 1055, 'Hold': 298, 'Reduce': 1774, 'Buy': 248}",34589.38360863831
Reduce → Add → Reduce,3186,Reduce,50.37664783427496,872,81,"{'Buy': 230, 'Add': 1095, 'Reduce': 1605, 'Hold': 256}",32915.50930221442
Reduce → Reduce → Add,3147,Reduce,49.72990149348586,896,81,"{'Add': 1078, 'Reduce': 1565, 'Hold': 251, 'Buy': 253}",32443.32010728852
Add → Add → Reduce,2619,Reduce,46.659030164184806,900,81,"{'Buy': 206, 'Add': 984, 'Hold': 207, 'Reduce': 1222}",29745.80247212915
Add → Add → Add,2737,Add,45.158933138472776,736,81,"{'Add': 1236, 'Reduce': 1016, 'Hold': 234, 'Buy': 251}",28950.67104707039
Add → Reduce → Add,2558,Reduce,44.68334636434715,846,81,"{'Reduce': 1143, 'Hold': 221, 'Add': 992, 'Buy': 202}",28400.97890028755
Hold → Reduce → Reduce,799,Reduce,53.06633291614519,474,79,"{'Buy': 69, 'Reduce': 424, 'Add': 221, 'Hold': 85}",28018.25509879689
Reduce → Add → Add,2440,Reduce,44.34426229508197,844,81,"{'Reduce': 1082, 'Add': 955, 'Buy': 193, 'Hold': 210}",28015.81886562832
Reduce → Hold → Reduce,815,Reduce,50.5521472392638,472,79,"{'Hold': 96, 'Reduce': 412, 'Add': 218, 'Buy': 89}",26769.983645369764
Buy → Reduce → Reduce,834,Reduce,48.6810551558753,533,81,"{'Add': 238, 'Reduce': 406, 'Hold': 115, 'Buy': 75}",26522.651279372876
Reduce → Buy → Reduce,796,Reduce,48.36683417085428,489,80,"{'Buy': 77, 'Add': 237, 'Reduce': 385, 'Hold': 97}",25845.685291960683
Reduce → Reduce → Buy,834,Reduce,46.76258992805755,511,81,"{'Buy': 73, 'Add': 288, 'Reduce': 390, 'Hold': 83}",25477.423642747337
Reduce → Reduce → Hold,905,Reduce,44.41988950276243,559,81,"{'Add': 264, 'Hold': 104, 'Reduce': 402, 'Buy': 135}",24495.02515323281
Hold → Add → Reduce,612,Reduce,46.24183006535948,442,80,"{'Reduce': 283, 'Add': 202, 'Hold': 65, 'Buy': 62}",23737.715502627296
Add → Hold → Reduce,529,Reduce,46.69187145557656,390,80,"{'Reduce': 247, 'Add': 172, 'Hold': 55, 'Buy': 55}",23424.33486077883
Hold → Reduce → Add,493,Reduce,47.26166328600406,352,79,"{'Reduce': 233, 'Add': 155, 'Hold': 48, 'Buy': 57}",23150.663766045396
Reduce → Hold → Add,596,Reduce,44.966442953020135,443,80,"{'Reduce': 268, 'Add': 221, 'Buy': 58, 'Hold': 49}",22987.71139293307
Add → Reduce → Hold,595,Reduce,44.87394957983194,437,80,"{'Reduce': 267, 'Buy': 68, 'Add': 188, 'Hold': 72}",22934.398592009187
Add → Buy → Add,625,Add,43.84,427,80,"{'Add': 274, 'Reduce': 224, 'Hold': 68, 'Buy': 59}",22578.482585955506
Buy → Reduce → Add,655,Reduce,43.05343511450382,471,80,"{'Reduce': 282, 'Add': 231, 'Buy': 55, 'Hold': 87}",22334.8657886918
Add → Reduce → Buy,589,Reduce,42.95415959252971,432,81,"{'Reduce': 253, 'Add': 202, 'Hold': 64, 'Buy': 70}",22192.374835580977
Add → Add → Buy,584,Add,42.12328767123288,418,81,"{'Add': 246, 'Buy': 81, 'Hold': 54, 'Reduce': 203}",21734.01489449234
Buy → Add → Add,727,Add,40.44016506189821,520,81,"{'Reduce': 263, 'Buy': 62, 'Hold': 108, 'Add': 294}",21583.03922090553
Add → Hold → Add,553,Reduce,40.50632911392405,402,81,"{'Reduce': 224, 'Add': 215, 'Buy': 63, 'Hold': 51}",20720.769544235307
Buy → Add → Reduce,671,Add,39.642324888226526,493,80,"{'Reduce': 249, 'Hold': 83, 'Add': 266, 'Buy': 73}",20641.81926002345
Reduce → Buy → Add,629,Reduce,39.10969793322735,455,81,"{'Add': 231, 'Reduce': 246, 'Buy': 68, 'Hold': 84}",20414.27017822146
Hold → Add → Add,569,Reduce,40.597539543058,421,79,"{'Reduce': 231, 'Buy': 61, 'Add': 222, 'Hold': 55}",20346.129005689178
Add → Buy → Reduce,554,Reduce,39.891696750902526,394,80,"{'Add': 217, 'Reduce': 221, 'Hold': 70, 'Buy': 46}",20160.193440738625
Reduce → Add → Buy,576,Add,40.10416666666667,410,78,"{'Reduce': 221, 'Add': 231, 'Buy': 71, 'Hold': 53}",19882.699276114337
