manager,manager,total_trades,entry_trades,exit_trades,perfect_entries,perfect_exits,entry_success_rate,exit_success_rate,timing_score,years_active
GFT,Bill & Melinda Gates Foundation Trust,441,325,116,132,92,40.62,79.31,59.96,19
oc,Howard Marks,637,432,205,203,142,46.99,69.27,58.13,4
CM,Greg Alexander,105,43,62,10,51,23.26,82.26,52.76,6
LT,Lindsell Train,304,154,150,18,137,11.69,91.33,51.51,8
TA,Third Avenue Management,916,386,530,50,459,12.95,86.6,49.78,8
AC,Chuck Akre,920,496,424,54,374,10.89,88.21,49.55,15
cc,William Von Mueffling,977,275,702,8,663,2.91,94.44,48.68,8
TFP,Triple Frond Partners,157,68,89,11,72,16.18,80.9,48.54,9
T,Torray Funds,946,588,358,83,296,14.12,82.68,48.4,4
SA,Christopher Bloomstran,621,336,285,27,253,8.04,88.77,48.4,8
GR,Thomas Russo,957,301,656,26,576,8.64,87.8,48.22,5
FPACX,Steven Romick,919,295,624,46,502,15.59,80.45,48.02,9
KB,Kahn Brothers Group,965,334,631,19,566,5.69,89.7,47.69,9
aq,Guy Spier - Aquamarine Capital,38,28,10,7,7,25.0,70.0,47.5,10
OFALX,Robert Olstein,973,459,514,39,444,8.5,86.38,47.44,4
MPGFX,Mairs & Power Growth Fund,947,384,563,28,491,7.29,87.21,47.25,9
HH,Duan Yongping,75,35,40,5,32,14.29,80.0,47.14,4
MAVFX,David Katz,955,539,416,59,344,10.95,82.69,46.82,4
DAV,Christopher Davis,963,335,628,26,539,7.76,85.83,46.79,4
tp,Daniel Loeb,684,493,191,203,100,41.18,52.36,46.77,6
AKO,AKO Capital,597,322,275,26,234,8.07,85.09,46.58,7
PC,Norbert Lou,23,13,10,3,7,23.08,70.0,46.54,5
YAM,Yacktman Asset Management,975,329,646,21,558,6.38,86.38,46.38,5
CAAPX,John Rogers,958,378,580,24,501,6.35,86.38,46.36,10
CAU,Sarah Ketterer,771,462,309,80,233,17.32,75.4,46.36,3
VFC,Valley Forge Capital Management,99,79,20,10,16,12.66,80.0,46.33,7
MKL,Thomas Gayner,915,869,46,143,35,16.46,76.09,46.27,7
TWEBX,Tweedy Browne Co.,767,418,349,100,239,23.92,68.48,46.2,19
JIM,Jensen Investment Management,975,396,579,28,492,7.07,84.97,46.02,5
WP,David Rolfe,929,251,678,17,573,6.77,84.51,45.64,9
