manager,manager,career_length_years,early_stocks,late_stocks,diversification_change,activity_per_year_change,style_change_score,early_buy_ratio,late_buy_ratio,total_activities,evolution_type,evolution_score
LMM,Bill Miller,5,162,23,-139,-292.5,25.349686487976296,44.21553090332805,69.56521739130434,1000,Less Active,456.8496864879763
tp,Daniel Loeb,6,240,74,-166,-176.0,6.811602835189701,56.50485436893204,49.693251533742334,1000,Less Active,348.81160283518966
TGM,Chase Coleman,6,188,54,-134,-146.0,3.62244897959183,68.62244897959184,65.0,1000,Less Active,283.6224489795918
YAM,Yacktman Asset Management,5,79,55,-24,-171.5,25.578968492875774,41.94260485651214,16.363636363636363,1000,Less Active,221.0789684928758
JIM,Jensen Investment Management,5,87,75,-12,-116.0,46.42582897033159,55.75916230366492,9.333333333333334,1000,Less Active,174.4258289703316
GR,Thomas Russo,5,91,75,-16,-122.0,6.751269035532998,33.24873096446701,40.0,1000,Less Active,144.751269035533
FS,Terry Smith,8,35,62,27,41.5,52.1183562574291,86.09271523178808,33.97435897435898,915,More Active,120.6183562574291
oa,Leon Cooperman,8,129,91,-38,-66.0,6.583485494015018,50.943396226415096,57.52688172043011,1000,Less Active,110.583485494015
MKL,Thomas Gayner,7,108,114,6,70.5,13.907704495939788,74.54545454545455,88.45315904139433,1000,More Active,90.40770449593978
AC,Chuck Akre,15,68,36,-32,-27.8,30.18295019157088,62.74999999999999,32.56704980842912,1000,Less Active,89.98295019157088
MVALX,Meridian Contrarian Fund,6,126,93,-33,-56.0,0.5649717514124242,50.56497175141242,50.0,1000,Less Active,89.56497175141243
BAUPOST,Seth Klarman,11,83,131,48,21.46666666666667,15.730642126253318,55.60538116591929,39.87473903966597,1000,More Active,85.19730879291998
TWEBX,Tweedy Browne Co.,19,94,159,65,17.5,2.5661623599767927,48.45360824742268,45.887445887445885,933,More Active,85.06616235997679
hcmax,Hillman Value Fund,19,56,82,26,23.976190476190474,31.350442199817024,26.55601659751037,57.9064587973274,1000,More Active,81.3266326760075
abc,David Abrams,13,49,26,-23,-16.65,35.86762075134168,62.7906976744186,26.923076923076923,367,Less Active,75.51762075134168
LT,Lindsell Train,8,12,29,17,16.5,41.040723981900456,76.92307692307693,35.88235294117647,311,More Active,74.54072398190046
GC,Francois Rochon,7,61,83,22,45.66666666666666,5.3816172691451,70.1923076923077,64.81069042316258,1000,More Active,73.04828393581175
SA,Christopher Bloomstran,8,29,47,18,41.25,11.940949296125575,45.65217391304348,57.59312320916905,648,More Active,71.19094929612558
CM,Greg Alexander,6,24,6,-18,-33.5,14.9789029535865,31.64556962025317,16.666666666666664,129,Less Active,66.4789029535865
VFC,Valley Forge Capital Management,7,9,13,4,-4.666666666666666,57.14285714285714,100.0,42.85714285714285,104,Style Shifter,65.80952380952381
FPPTX,FPA Queens Road Small Cap Value Fund,12,43,74,31,3.75,30.258164118618268,41.94630872483221,72.20447284345049,1000,Style Shifter,65.00816411861827
KB,Kahn Brothers Group,9,50,69,19,27.666666666666657,17.045429569880653,43.346007604562736,26.300578034682083,1000,More Active,63.71209623654731
CCM,Glenn Greenberg,16,39,60,21,28.866666666666674,12.035468202869088,52.56410256410257,40.52863436123348,1000,More Active,61.90213486953576
PI,Mohnish Pabrai,17,30,14,-16,-25.514285714285712,18.1253879577902,37.43016759776536,55.55555555555556,336,Less Active,59.63967367207591
AIM,Alex Roepers,14,63,42,-21,-29.166666666666664,7.347947365229518,52.53623188405797,45.18828451882845,870,Less Active,57.51461403189619
EC,John Armitage,7,70,58,-12,-44.83333333333333,0.658087159988302,42.96577946768061,42.30769230769231,800,Less Active,57.49142049332163
WP,David Rolfe,9,56,47,-9,-44.33333333333334,2.243721199546431,23.204419889502763,20.96069868995633,1000,Less Active,55.57705453287977
fairx,Bruce Berkowitz,19,73,49,-24,-29.95238095238095,0.9472890229833996,50.52356020942408,49.57627118644068,818,Less Active,54.89966997536435
cc,William Von Mueffling,8,38,52,14,30.25,8.141970955841021,25.38860103626943,33.53057199211045,1000,More Active,52.39197095584102
GFT,Bill & Melinda Gates Foundation Trust,19,114,96,-18,-16.92857142857143,17.45299419615395,60.84142394822006,43.38842975206612,626,Less Active,52.38156562472538
